,Open,High,Low,Close,Volume,Date
45,2342.8999,2358.0000,2330.0000,2350.7000,686714,2023-10-13
46,2347.6499,2359.0000,2338.0500,2348.8501,308005,2023-10-12
47,2314.8999,2349.5000,2314.0000,2345.0000,1384096,2023-10-11
48,2305.0500,2317.8999,2303.4500,2308.5500,87798,2023-10-10
49,2309.9500,2312.5500,2295.0000,2297.7500,96352,2023-10-09
50,2322.9500,2325.0000,2312.0000,2317.8999,356117,2023-10-06
51,2325.0000,2329.0000,2310.0000,2313.8501,194952,2023-10-05
52,2312.0000,2318.7000,2295.1499,2314.3000,269205,2023-10-04
53,2337.0000,2337.0000,2316.0000,2318.2500,266890,2023-10-03
54,2347.9500,2369.5000,2334.1001,2346.5000,152169,2023-09-29
55,2384.0000,2384.0000,2325.6499,2334.0000,314683,2023-09-28
56,2349.0000,2371.7000,2339.0000,2369.1001,248130,2023-09-27
57,2343.7000,2350.0000,2336.1001,2341.5500,139096,2023-09-26
58,2353.8501,2359.8999,2335.8000,2340.0500,191151,2023-09-25
59,2368.1499,2383.6499,2350.0000,2354.0500,367560,2023-09-22
60,2379.9500,2390.0000,2359.0000,2364.5500,358113,2023-09-21
61,2422.9500,2426.3999,2361.6001,2382.1001,2533477,2023-09-20
62,2442.0000,2451.5500,2432.6001,2436.0000,139331,2023-09-18
63,2466.0500,2467.1001,2449.6001,2460.0500,126487,2023-09-15
64,2456.3501,2465.0000,2445.0000,2451.1001,231443,2023-09-14
65,2443.5500,2462.5000,2415.6001,2452.7500,142946,2023-09-13
66,2489.7000,2489.7000,2435.2000,2437.9500,157057,2023-09-12
67,2455.9500,2476.0000,2452.0500,2474.3999,366596,2023-09-11
68,2436.3999,2455.6499,2423.3999,2449.0500,445328,2023-09-08
69,2425.8501,2438.0000,2411.3999,2431.5000,101108,2023-09-07
70,2422.9500,2436.0000,2418.0000,2428.1001,175250,2023-09-06
71,2418.2500,2433.9500,2411.0000,2423.9500,201719,2023-09-05
72,2410.0500,2423.0000,2406.0000,2410.1499,243913,2023-09-04
73,2408.0000,2425.7000,2401.3000,2413.0500,723207,2023-09-01
74,2420.0500,2425.8999,2400.0000,2406.8999,241991,2023-08-31
75,2430.3000,2443.2500,2415.0500,2418.3000,923878,2023-08-30
76,2447.0000,2452.1499,2408.4500,2420.2500,220154,2023-08-29
77,2474.0000,2483.5000,2432.0000,2442.5500,349403,2023-08-28
78,2454.0000,2505.0000,2443.9500,2469.9500,1212903,2023-08-25
79,2542.0000,2542.0000,2471.6001,2478.6499,302604,2023-08-24
80,2527.9500,2542.3999,2518.0500,2523.1499,157329,2023-08-23
81,2518.2500,2537.4500,2498.5500,2519.0000,115990,2023-08-22
82,2531.0000,2554.8999,2513.5500,2518.2500,156076,2023-08-21
83,2532.0000,2577.0000,2508.5000,2556.7000,1144311,2023-08-18
84,2568.0000,2577.9500,2532.2000,2537.7500,139614,2023-08-17
85,2556.6500,2582.1500,2550.6500,2574.9000,87871,2023-08-16
86,2533.0500,2582.0000,2524.2000,2576.7500,407900,2023-08-14
87,2535.4500,2558.3000,2512.1000,2548.0000,297470,2023-08-11
88,2527.0000,2550.0000,2508.8000,2535.6500,200827,2023-08-10
89,2507.0000,2529.4000,2481.0000,2523.5500,212798,2023-08-09
90,2525.3000,2534.6000,2499.4500,2505.6500,151755,2023-08-08
91,2515.0000,2528.3500,2505.0500,2523.4500,293130,2023-08-07
92,2485.0000,2517.2000,2472.0000,2510.1500,709795,2023-08-04
93,2471.4500,2499.9000,2458.0000,2474.9500,210947,2023-08-03
94,2500.0000,2511.8000,2463.2000,2486.3500,184490,2023-08-02
95,2547.8500,2559.0000,2505.9000,2512.6500,170213,2023-08-01
96,2527.9000,2553.6500,2518.7500,2547.8500,85020,2023-07-31
97,2509.0500,2541.9000,2501.0000,2527.6000,644967,2023-07-28
98,2529.0000,2538.0000,2491.4500,2506.3000,101139,2023-07-27
99,2480.1000,2547.2500,2480.1000,2525.7000,132959,2023-07-26
100,2491.5000,2505.0000,2480.0500,2484.7000,199238,2023-07-25
101,2484.0000,2514.8000,2469.5500,2487.5500,228305,2023-07-24
102,2603.0000,2613.8000,2523.3500,2536.2000,896988,2023-07-21
103,2589.0000,2632.0000,2582.0000,2619.8000,400680,2023-07-20
104,2581.7070,2602.6743,2549.2990,2589.0000,782335,2023-07-19
105,2563.5202,2587.1768,2547.0655,2572.9555,364444,2023-07-18
106,2503.9459,2567.1211,2487.4000,2549.2534,453640,2023-07-17
107,2507.9114,2516.7997,2483.0242,2496.8352,499323,2023-07-14
108,2535.1233,2552.4896,2495.7869,2500.7096,261573,2023-07-13
109,2525.0499,2554.5408,2517.8937,2521.7225,325221,2023-07-12
110,2507.1365,2525.0499,2496.4706,2519.9904,527404,2023-07-11
111,2448.6106,2511.5123,2436.5316,2493.4167,1110570,2023-07-10
112,2400.1124,2429.4665,2395.1896,2402.5282,576768,2023-07-07
113,2348.3324,2410.5960,2348.3324,2405.1719,619409,2023-07-06
114,2370.7127,2373.8577,2348.0589,2356.3546,61768,2023-07-05
115,2389.3553,2394.3692,2345.8254,2359.4997,189823,2023-07-04
116,2327.5475,2390.2669,2327.5475,2384.0679,517214,2023-07-03
117,2315.5597,2330.7381,2309.1327,2325.2684,289824,2023-06-30
118,2293.6352,2313.0071,2276.9526,2305.8053,171621,2023-06-28
119,2279.9609,2288.1655,2266.6513,2275.2205,148922,2023-06-27
120,2282.6958,2293.5440,2269.2494,2273.7619,197782,2023-06-26
121,2306.3979,2308.9504,2289.1683,2292.9515,289996,2023-06-23
122,2335.2962,2345.5064,2308.4490,2311.5030,61620,2023-06-22
